S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date;;
1;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;5;0;0;0;undefined;undefined;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:35
2;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:35
3;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
4;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
5;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;5;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
6;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
7;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;undefined;undefined;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
8;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
9;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;undefined;undefined;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
10;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
11;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;undefined;undefined;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
12;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
13;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;undefined;undefined;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
14;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
15;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;undefined;undefined;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:36
16;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:37
17;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;undefined;undefined;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:37
18;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:37
19;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;undefined;undefined;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:37
20;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:37
21;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;undefined;undefined;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:37
22;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;Still;100%;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:37
23;CcflPfsdgPQUzof3Z5u1rRDlGVS2;#¿NOMBRE?;-122.084;374.219.983;0;0;0;0;undefined;undefined;9.776.309.967.041.010;0;0.8123490214347839;undefined;undefined;undefined;undefined;Tue; 19 May 2020; 22:37
