S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date;;
1;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.463.013;-330.162.381;7.179.999.542.236.320;0;0;0;undefined;undefined;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:19
2;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.463.041;-330.162.836;7.179.999.542.236.320;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:20
3;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.462.971;-330.162.809;71.5;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:20
4;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.462.933;-330.162.204;7.179.999.542.236.320;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:20
5;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;-LpW3fb0jHRBLA2-6txg;-71.546.296;-330.162.363;71.5;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:21
6;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-71.546.296;-330.162.363;71.5;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:21
7;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-71.546.296;-330.162.363;71.5;0;0;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:21
8;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.462.905;-330.162.176;71.5;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:22
9;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.463.054;-330.162.421;7.179.999.542.236.320;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:23
10;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.462.883;-330.162.466;71.5;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:23
11;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.463.025;-330.162.337;71.5;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:23
12;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.462.968;-330.162.338;7.179.999.542.236.320;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:24
13;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.463.055;-330.162.473;7.179.999.542.236.320;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:24
14;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.463.055;-330.162.473;7.179.999.542.236.320;0;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:24
15;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.463.055;-330.162.473;7.179.999.542.236.320;0;0;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:26
16;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.462.862;-330.162.359;71.5;0;0;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:28
17;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.462.862;-330.162.359;71.5;0;0;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:28
18;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.462.921;-33.016.232;71.5;0;0;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:28
19;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.462.943;-330.162.334;71.5;0.0015142960473895073;1;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:29
20;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.462.892;-330.162.376;71.5;0;0;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:31
21;DD8CQQ56qsPwa7qWUTkr2x3MQUg2;#¿NOMBRE?;-715.462.892;-330.162.376;71.5;0;2;0;Still;100%;0;0;0;undefined;99.0;99.0;undefined;lun.; 23 sep. 2019; 23:31
