S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date;;
1;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.588;387.565.071;18.690.000.915.527.300;0;0;303;undefined;undefined;3.923.248.291.015.620;-0.341156005859375;8.932.388.305.664.060;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:49
2;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-9.174.983;38.756.532;18.690.000.915.527.300;0;33;351;undefined;undefined;0.024566650390625;0.14385986328125;973.919.677.734.375;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:49
3;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-9.174.983;38.756.532;18.690.000.915.527.300;0;33;334;undefined;undefined;0.010162353515625;0.110260009765625;9.782.150.268.554.680;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:49
4;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.727;38.756.539;18.690.000.915.527.300;0;33;348;undefined;undefined;0.0293731689453125;0.139068603515625;9.786.941.528.320.310;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:49
5;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.727;38.756.539;18.690.000.915.527.300;0;33;2;Still;100%;0.0149688720703125;0.10064697265625;9.786.941.528.320.310;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:49
6;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.697;387.565.319;18.690.000.915.527.300;0;33;348;undefined;undefined;0.0485687255859375;0.124664306640625;9.844.207.763.671.870;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:49
7;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.697;387.565.319;18.690.000.915.527.300;0;33;354;Still;100%;0.019775390625;0.14385986328125;9.786.941.528.320.310;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:49
8;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.671;38.756.526;18.690.000.915.527.300;0;33;350;Still;100%;0.0161590576171875;0.11865234375;977.142.333.984.375;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:49
9;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-9.174.965;387.565.213;18.690.000.915.527.300;0;33;7;undefined;undefined;0.024566650390625;0.1198577880859375;9.698.623.657.226.560;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:49
10;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-9.174.974;387.565.621;18.690.000.915.527.300;0;33;297;undefined;undefined;8.057.220.458.984.370;-0.0338134765625;78.773.193.359.375;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:50
11;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-9.174.974;387.565.621;18.690.000.915.527.300;0;33;300;Still;100%;79.131.927.490.234.300;0.004608154296875;75.240.325.927.734.300;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:50
12;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-9.174.974;387.565.621;18.690.000.915.527.300;0;33;298;Still;100%;59.590.301.513.671.800;-0.701324462890625;79.632.415.771.484.300;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:50
13;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-9.174.974;387.565.621;18.690.000.915.527.300;0;33;306;Still;100%;6.035.858.154.296.870;-0.91741943359375;77.913.970.947.265.600;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:50
14;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.616;387.565.539;18.690.000.915.527.300;0;33;32;undefined;undefined;0.019775390625;0.1294708251953125;9.715.316.772.460.930;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:50
15;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.616;387.565.539;18.690.000.915.527.300;0;33;39;Still;100%;0.019775390625;0.1150665283203125;9.782.150.268.554.680;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:50
16;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.661;387.565.395;18.690.000.915.527.300;0;33;36;undefined;undefined;-0.138671875;0.1294708251953125;9.113.800.048.828.120;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:50
17;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.661;387.565.395;18.690.000.915.527.300;0;33;26;Still;100%;0.1254119873046875;0.14385986328125;10.078.140.258.789.000;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:50
18;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.729;387.565.604;18.690.000.915.527.300;0;33;28;undefined;undefined;0.010162353515625;0.124664306640625;9.705.764.770.507.810;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:50
19;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.729;387.565.604;18.690.000.915.527.300;0;33;33;Still;100%;0.010162353515625;0.105438232421875;9.701.004.028.320.310;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:50
20;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.707;38.756.527;18.690.000.915.527.300;0;33;308;undefined;undefined;60.022.430.419.921.800;-0.9750518798828125;7.165.985.107.421.870;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:51
21;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.707;38.756.527;18.690.000.915.527.300;0;33;268;Still;100%;52.724.456.787.109.300;-0.6389007568359375;7.490.631.103.515.620;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:51
22;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.588;387.565.071;18.690.000.915.527.300;0;33;1;undefined;undefined;-0.004241943359375;0.1486663818359375;976.068.115.234.375;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:51
23;fW4z6Hi7MwdXr2MxfEkEFJj8Gy33;#¿NOMBRE?;-91.749.588;387.565.071;18.690.000.915.527.300;0;33;350;Still;100%;0.002960205078125;0.139068603515625;9.753.509.521.484.370;undefined;undefined;;undefined;Sat; 14 Sep 2019; 11:51
