S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date;;
1;shOKw28KcyM7KoIgimnUvKfygjs2;#¿NOMBRE?;-706.052.625;-334.150.932;6.813.999.633.789.060;0;0;185;Still;100%;5.604.997.158.050.530;0.14605076611042023;8.123.774.528.503.410;undefined;undefined;undefined;undefined;mié.; 25 sep. 2019; 11:31
2;shOKw28KcyM7KoIgimnUvKfygjs2;#¿NOMBRE?;-706.052.592;-334.151.003;6.840.999.755.859.370;0.0724591389298439;0;190;Still;100%;-14.219.999.313.354.400;6.059.999.942.779.540;22.619.998.931.884.700;undefined;99.0;99.0;undefined;mié.; 25 sep. 2019; 11:31
3;shOKw28KcyM7KoIgimnUvKfygjs2;#¿NOMBRE?;-706.052.592;-334.151.003;6.840.999.755.859.370;0.0724591389298439;0;192;Still;100%;-89.399.995.803.833;6.059.999.942.779.540;23.219.999.313.354.400;undefined;99.0;99.0;undefined;mié.; 25 sep. 2019; 11:31
4;shOKw28KcyM7KoIgimnUvKfygjs2;#¿NOMBRE?;-706.052.717;-334.151.012;684;0;0;203;Still;100%;7.867.587.089.538.570;-0.1412622183561325;5.806.116.580.963.130;undefined;99.0;99.0;undefined;mié.; 25 sep. 2019; 11:32
5;shOKw28KcyM7KoIgimnUvKfygjs2;#¿NOMBRE?;-706.052.717;-334.151.012;684;0;0;204;Still;100%;-5.099.999.904.632.560;9.539.999.961.853.020;2.303.999.900.817.870;undefined;99.0;99.0;undefined;mié.; 25 sep. 2019; 11:32
6;shOKw28KcyM7KoIgimnUvKfygjs2;#¿NOMBRE?;-70.605.273;-334.151.002;6.813.999.633.789.060;0.018292659893631935;0;197;Still;100%;-3.263.999.938.964.840;10.019.999.504.089.300;15.839.999.198.913.500;undefined;99.0;99.0;undefined;mié.; 25 sep. 2019; 11:32
7;shOKw28KcyM7KoIgimnUvKfygjs2;#¿NOMBRE?;-706.052.658;-334.150.921;6.813.999.633.789.060;0.09564819931983948;0;196;Still;100%;-3.239.999.771.118.160;9.779.999.732.971.190;15.839.999.198.913.500;undefined;99.0;99.0;undefined;mié.; 25 sep. 2019; 11:32
8;shOKw28KcyM7KoIgimnUvKfygjs2;#¿NOMBRE?;-706.052.722;-334.150.993;6.813.999.633.789.060;0.05890357866883278;0;198;Still;100%;-3.221.999.740.600.580;10.679.999.351.501.400;15.479.999.542.236.300;undefined;99.0;99.0;undefined;mié.; 25 sep. 2019; 11:32
9;shOKw28KcyM7KoIgimnUvKfygjs2;#¿NOMBRE?;-706.052.659;-334.150.927;6.813.999.633.789.060;0.07253821194171906;0;197;Still;100%;-32.099.998.474.121.000;10.260.000.228.881.800;15.420.000.076.293.900;undefined;99.0;99.0;undefined;mié.; 25 sep. 2019; 11:32
10;shOKw28KcyM7KoIgimnUvKfygjs2;#¿NOMBRE?;-706.052.641;-334.150.906;6.813.999.633.789.060;0.03624840825796127;0;198;Still;100%;-3.234.000.015.258.780;10.679.999.351.501.400;15.719.999.313.354.400;undefined;99.0;99.0;undefined;mié.; 25 sep. 2019; 11:33
