S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date
1;RewpCCOu71cCQdgXUd4q4FVbQQo1;#¿NOMBRE?;-715.502.578;-330.259.136;53.099.998.474.121.000;0;0;60;Still;100;70.768.890.380.859.300;-0.465179443359375;6.638.946.533.203.120;undefined;undefined;undefined;undefined;13-10-2019 6:15:56 p. m.
2;RewpCCOu71cCQdgXUd4q4FVbQQo1;#¿NOMBRE?;-715.502.578;-330.259.136;53.099.998.474.121.000;0;0;60;Still;100;70.768.890.380.859.300;-0.465179443359375;6.638.946.533.203.120;undefined;undefined;undefined;undefined;13-10-2019 6:15:56 p. m.
3;RewpCCOu71cCQdgXUd4q4FVbQQo1;#¿NOMBRE?;-715.502.578;-330.259.136;53.099.998.474.121.000;0;22;149;Still;100;-21.041.427.612.304.600;-12.424.850.463.867.100;5.314.361.572.265.620;undefined;undefined;undefined;undefined;13-10-2019 6:16:06 p. m.
4;RewpCCOu71cCQdgXUd4q4FVbQQo1;-Lr5ybJzcYapcFQl6S5-;-715.502.578;-330.259.136;53.099.998.474.121.000;0;22;149;Still;100;-21.041.427.612.304.600;-12.424.850.463.867.100;5.314.361.572.265.620;undefined;undefined;undefined;undefined;13-10-2019 6:16:06 p. m.
5;RewpCCOu71cCQdgXUd4q4FVbQQo1;#¿NOMBRE?;-715.502.744;-330.259.227;46.599.998.474.121.000;0;22;149;Still;100;-209.674.072.265.625;-12.426.361.083.984.300;4.374.755.859.375;undefined;undefined;undefined;undefined;13-10-2019 6:16:17 p. m.
6;RewpCCOu71cCQdgXUd4q4FVbQQo1;#¿NOMBRE?;-715.502.744;-330.259.227;46.599.998.474.121.000;0;22;149;Still;100;-209.674.072.265.625;-12.426.361.083.984.300;4.374.755.859.375;undefined;undefined;undefined;undefined;13-10-2019 6:16:17 p. m.
7;RewpCCOu71cCQdgXUd4q4FVbQQo1;#¿NOMBRE?;-715.502.675;-330.259.187;46.599.998.474.121.000;0;22;149;Still;100;-21.339.019.775.390.600;-12.639.358.520.507.800;49.623.870.849.609.300;undefined;undefined;undefined;undefined;13-10-2019 6:16:27 p. m.
8;RewpCCOu71cCQdgXUd4q4FVbQQo1;#¿NOMBRE?;-715.502.675;-330.259.187;46.599.998.474.121.000;0;22;149;Still;100;-21.339.019.775.390.600;-12.639.358.520.507.800;49.623.870.849.609.300;undefined;undefined;undefined;undefined;13-10-2019 6:16:27 p. m.
9;RewpCCOu71cCQdgXUd4q4FVbQQo1;#¿NOMBRE?;-715.502.929;-330.259.192;55.099.998.474.121.000;0;22;149;Still;100;0.4289703369140625;0.12872314453125;9.531.845.092.773.430;undefined;undefined;undefined;undefined;13-10-2019 6:16:38 p. m.
10;RewpCCOu71cCQdgXUd4q4FVbQQo1;#¿NOMBRE?;-715.502.929;-330.259.192;55.099.998.474.121.000;0;22;149;Still;100;0.4289703369140625;0.12872314453125;9.531.845.092.773.430;undefined;undefined;undefined;undefined;13-10-2019 6:16:38 p. m.
