S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date
1;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.859.432;-330.287.659;4.489.999.771.118.160;0;17;51;Tilting;100;51.620.001.792.907.700;-0.3160000145435333;8.140.000.343.322.750;undefined;99.99;99.99;28.6;16 dic. 2019 11:50:06
2;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.859.432;-330.287.659;4.489.999.771.118.160;0;17;51;Tilting;100;51.620.001.792.907.700;-0.3160000145435333;8.140.000.343.322.750;undefined;99.99;99.99;28.6;16 dic. 2019 11:50:06
3;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.855.623;-33.029.207;0;0;17;70;undefined;0;0.1340000033378601;0.02800000086426735;979.699.993.133.545;undefined;99.99;1.00;28.6;16 dic. 2019 11:51:36
4;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.862.383;-33.028.755;-6.6;0.00018466220353730023;17;71;undefined;0;17.639.999.389.648.400;-5.374.800.109.863.280;-527.400.016.784.668;undefined;0.93;0.86;28.6;16 dic. 2019 11:51:45
5;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.860.798;-330.287.323;4.519.999.694.824.210;0.026086842641234398;17;70;Still;100;17.639.999.389.648.400;-5.381.999.969.482.420;-5.291.999.816.894.530;undefined;0.75;0.76;28.6;16 dic. 2019 11:51:53
6;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.860.605;-330.287.399;4.489.999.771.118.160;0.09019847214221954;17;71;Still;100;17.172.000.885.009.700;-54.683.998.107.910.100;-5.252.399.826.049.800;undefined;0.74;0.72;28.6;16 dic. 2019 11:52:04
7;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.860.173;-330.287.534;4.489.999.771.118.160;0.44920989871025085;17;71;Still;100;17.172.000.885.009.700;-5.475.600.051.879.880;-52.847.999.572.753.900;undefined;0.78;0.73;28.6;16 dic. 2019 11:52:13
8;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.861.752;-330.288.212;4.519.999.694.824.210;0;17;70;undefined;0;0.15299999713897705;0.07599999755620956;979.699.993.133.545;undefined;99.99;99.99;28.6;16 dic. 2019 11:57:17
9;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.861.752;-330.288.212;4.519.999.694.824.210;0;17;71;undefined;0;0.12399999797344208;0.0860000029206276;9.807.000.160.217.280;undefined;1.13;0.86;28.6;16 dic. 2019 11:57:27
10;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.860.219;-330.288.616;4.519.999.694.824.210;0.013024560175836086;17;71;Still;100;17.172.000.885.009.700;-5.497.200.012.207.030;-5.342.399.978.637.690;undefined;1.05;0.84;28.6;16 dic. 2019 11:57:38
11;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.860.342;-330.288.406;4.429.999.923.706.050;0.18190106749534607;17;71;Still;100;0.1345333606004715;0.070333331823349;9.789.999.008.178.710;undefined;1.48;0.89;28.6;16 dic. 2019 11:57:48
12;T87tN8hF3CbOL5pUxgT0GL0UUd22;#¿NOMBRE?;-715.860.515;-330.288.398;4.519.999.694.824.210;0.1484541893005371;17;72;Still;100;1.706.399.917.602.530;-55.007.999.420.166.000;-53.891.998.291.015.600;undefined;1.05;0.83;28.6;16 dic. 2019 11:57:58
