S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date;;
1;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-715.501.516;-330.259.238;5.289.999.771.118.160;0;14;318;undefined;undefined;4.669.300.079.345.700;10.762.200.355.529.700;8.119.034.767.150.870;undefined;99.99;99.99;28.7;lun.; 9 sep. 2019; 11:39
2;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-7.155.015;-330.259.184;5.289.999.771.118.160;0;14;329;undefined;undefined;0.10130000114440918;-2.073.780.059.814.450;8.722.034.454.345.700;undefined;99.99;1.00;28.7;lun.; 9 sep. 2019; 11:39
3;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-715.502.528;-330.259.732;5.289.999.771.118.160;0;14;313;Still;100%;-0.3716333210468292;0.22268666326999664;9.612.866.401.672.360;undefined;99.99;1.00;28.7;lun.; 9 sep. 2019; 11:39
4;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-715.503.328;-330.260.294;5.289.999.771.118.160;0;14;313;Still;100%;-0.37709999084472656;0.22635331749916077;9.631.699.562.072.750;undefined;99.99;1.00;28.6;lun.; 9 sep. 2019; 11:41
5;QIppDyvqVYe8xyolJCo3tIk5LUL2;-LoLTIrgot3Y0lH4hsj-;-715.503.328;-330.260.294;5.289.999.771.118.160;0;14;313;Still;100%;-0.37769997119903564;0.1952199935913086;9.632.034.301.757.810;undefined;99.99;1.00;28.7;lun.; 9 sep. 2019; 11:41
6;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-715.503.608;-330.260.523;5.289.999.771.118.160;0;14;313;Still;100%;-0.37209996581077576;0.22411999106407166;9.616.399.765.014.640;undefined;99.99;1.00;28.7;lun.; 9 sep. 2019; 11:41
7;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-715.503.608;-330.260.523;5.289.999.771.118.160;0;14;313;Still;100%;4.107.600.021.362.300;4.147.200.012.207.030;-23.832.000.732.421.800;undefined;99.99;1.00;28.7;lun.; 9 sep. 2019; 11:41
8;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-715.503.608;-330.260.523;5.289.999.771.118.160;0;14;313;Still;100%;-0.3676999807357788;0.2822200059890747;9.632.034.301.757.810;undefined;99.99;1.00;28.7;lun.; 9 sep. 2019; 11:41
9;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-71.550.263;-330.260.056;5.289.999.771.118.160;0;15;313;Still;100%;4.093.199.920.654.290;41.507.999.420.166.000;-2.379.599.952.697.750;undefined;99.99;99.99;28.7;lun.; 9 sep. 2019; 11:54
10;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-71.550.263;-330.260.056;5.289.999.771.118.160;0;15;313;Still;100%;-0.38669997453689575;0.26221999526023865;9.402.034.759.521.480;undefined;99.99;99.99;28.7;lun.; 9 sep. 2019; 11:54
11;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-715.502.705;-330.259.698;5.289.999.771.118.160;0;15;313;Still;100%;405.359.992.980.957;41.183.998.107.910.100;-23.327.999.114.990.200;undefined;99.99;1.00;28.7;lun.; 9 sep. 2019; 11:54
12;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-715.502.745;-33.025.956;5.289.999.771.118.160;0;15;313;Still;100%;40.428.001.403.808.500;4.107.600.021.362.300;-2.354.400.062.561.030;undefined;1.16;0.94;28.7;lun.; 9 sep. 2019; 11:54
13;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-715.502.745;-33.025.956;5.289.999.771.118.160;0;0;313;undefined;undefined;-0.3966999650001526;0.22422000765800476;9.632.034.301.757.810;undefined;undefined;undefined;undefined;lun.; 9 sep. 2019; 11:54
14;QIppDyvqVYe8xyolJCo3tIk5LUL2;#¿NOMBRE?;-715.503.131;-330.259.728;107.1;0;15;313;Still;100%;-0.3676999807357788;0.2342199981212616;9.632.034.301.757.810;undefined;99.99;1.00;28.7;lun.; 9 sep. 2019; 11:54
