S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date
936;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5429117;-33,0137433;-152,5;0,906425834;18;96;walking;88;3,398999929;6,426000118;-7,431000233;undefined;1;0,85;28,7;16 oct. 2019 19:32:21
938;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5425301;-33,0139076;-59,9;0,680398285;18;87;walking;88;3,773000002;10,75500011;-4,510000229;undefined;1;0,85;28,7;16 oct. 2019 19:32:31
940;NHn3q30x9zeOEpk2w6M9AP42dd72;-LrLguYC-1JFXO8f55DS;-71,5425053;-33,0139479;-33,2;0,973232269;18;79;walking;88;1,620000005;8,855999947;21,81599998;undefined;1;0,85;28,7;16 oct. 2019 19:32:41
942;NHn3q30x9zeOEpk2w6M9AP42dd72;-LrLgx-4a_CrZtU7IDJx;-71,542573;-33,0139506;-19,2;0,779852748;18;96;walking;88;3,082999945;6,59800005;-4,203999996;undefined;1;0,85;28,7;16 oct. 2019 19:32:51
944;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5426567;-33,0139812;-12,1;0,938581049;18;70;walking;88;1,980000019;6,840000153;24,19199944;undefined;1;0,85;28,7;16 oct. 2019 19:33:01
946;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5427614;-33,0140634;-7,5;1,341856837;18;88;walking;88;1,332000017;-1,223999977;24,26399994;undefined;1,1;0,85;28,7;16 oct. 2019 19:33:11
948;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5428975;-33,0141205;-2,2;1,150516868;18;86;walking;88;1,907999992;12,60000038;15,8760004;undefined;1,1;0,85;28,7;16 oct. 2019 19:33:21
950;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5430252;-33,0141775;1,6;1,208013654;18;70;walking;88;3,420000076;0,360000014;16,66799927;undefined;1,1;0,85;28,7;16 oct. 2019 19:33:31
952;NHn3q30x9zeOEpk2w6M9AP42dd72;-LrLh8BzXayhB8XtsVU-;-71,5431516;-33,0142386;3,7;1,244386077;18;68;walking;88;4,104000092;7,992000103;10,58399963;undefined;1,1;0,85;28,7;16 oct. 2019 19:33:41
954;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5432691;-33,0142751;6;1,158684731;18;81;walking;88;4,078999996;10,19900036;-5,869999886;undefined;1,1;0,85;28,7;16 oct. 2019 19:33:51
956;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5434232;-33,0144374;-2,2;1,313942194;18;81;walking;88;-1,692000031;7,308000088;20,62800026;undefined;1,1;0,86;28,7;16 oct. 2019 19:34:01
958;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5434754;-33,0145754;-2,1;1,169291139;18;42;walking;88;11,88000011;-1,547999978;21,42000008;undefined;1,1;0,86;28,7;16 oct. 2019 19:34:11
960;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5435215;-33,0146552;-0,6;0,984981894;18;90;walking;88;3,753999949;11,21399975;-5,334000111;undefined;1,1;0,86;28,7;16 oct. 2019 19:34:21
962;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5435942;-33,014708;0,2;0,040741727;18;75;walking;88;2,267999887;12,42000008;17,7840004;undefined;1,1;0,86;28,7;16 oct. 2019 19:34:31
964;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5437425;-33,0147959;1;1,291391134;18;54;walking;88;4,414999962;9,059000015;-4,145999908;undefined;1,1;0,86;28,7;16 oct. 2019 19:34:41
966;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5438791;-33,0149491;3,7;1,330393553;18;77;walking;88;1,692000031;0;22,2840004;undefined;1,07;0,85;28,7;16 oct. 2019 19:34:51
968;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5439838;-33,015063;6,3;1,321930885;18;65;walking;88;7,452000141;-1,871999979;22,5720005;undefined;1,07;0,85;28,7;16 oct. 2019 19:35:01
970;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5441487;-33,0151391;6;1,327710032;18;82;walking;88;0;9,755999565;16,37999916;undefined;1,07;0,85;28,7;16 oct. 2019 19:35:11
972;NHn3q30x9zeOEpk2w6M9AP42dd72;-LrLhWbeAqkGNNE6z4M-;-71,5443679;-33,0152041;7,5;1,143268704;18;52;walking;88;4,270999908;4,758999825;-5,497000217;undefined;1,07;0,85;28,7;16 oct. 2019 19:35:21
974;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5444028;-33,0153258;10,5;1,29659307;18;79;walking;88;3,671999931;8,49600029;20,62800026;undefined;1,07;0,85;28,7;16 oct. 2019 19:35:31
976;NHn3q30x9zeOEpk2w6M9AP42dd72;#¿NOMBRE?;-71,5444756;-33,0154425;7;1,083589554;18;71;walking;88;3,743999958;4,5;21,56399918;undefined;1,07;0,85;28,7;16 oct. 2019 19:35:41
