S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date
1;WDvTZEGtG9Wh7LZYIWfgE1gIRp13;#¿NOMBRE?;-715.409.153;-330.133.188;48.5;0.08984734117984772;0;138;Still;100;17.399.999.618.530.200;-15.899.999.618.530.200;5.502.000.045.776.360;undefined;undefined;undefined;undefined;16 oct. 2019 18:48:45
2;WDvTZEGtG9Wh7LZYIWfgE1gIRp13;#¿NOMBRE?;-71.540.927;-330.133.173;48.5;0;0;140;Still;100;178.799.991.607.666;-22.079.999.923.706.000;5.981.999.969.482.420;undefined;99.0;99.0;undefined;16 oct. 2019 18:48:50
3;WDvTZEGtG9Wh7LZYIWfgE1gIRp13;#¿NOMBRE?;-71.540.927;-330.133.173;48.5;0;0;152;Still;100;19.260.000.228.881.800;-2.081.999.969.482.420;5.747.999.954.223.630;undefined;99.0;99.0;undefined;16 oct. 2019 18:48:54
4;WDvTZEGtG9Wh7LZYIWfgE1gIRp13;-LrLXsBIXT2iJfuQ213-;-71.540.927;-330.133.173;48.5;0;0;0;undefined;0;0;0;0;undefined;undefined;undefined;undefined;16 oct. 2019 18:48:54
5;WDvTZEGtG9Wh7LZYIWfgE1gIRp13;#¿NOMBRE?;-71.540.927;-330.133.176;48.5;0.002788311103358865;0;155;Still;100;6.656.084.060.668.940;-1.101.366.400.718.680;7.187.613.010.406.490;undefined;99.0;99.0;undefined;16 oct. 2019 18:48:58
6;WDvTZEGtG9Wh7LZYIWfgE1gIRp13;-LrLXt4eKCt_u730u0-R;-71.540.927;-330.133.176;48.5;0.002788311103358865;0;155;Still;100;6.656.084.060.668.940;-1.101.366.400.718.680;7.187.613.010.406.490;undefined;99.0;99.0;undefined;16 oct. 2019 18:48:58
7;WDvTZEGtG9Wh7LZYIWfgE1gIRp13;#¿NOMBRE?;-71.540.927;-330.133.176;48.5;0.002788311103358865;0;0;undefined;0;0;0;0;undefined;undefined;undefined;undefined;16 oct. 2019 18:48:58
8;WDvTZEGtG9Wh7LZYIWfgE1gIRp13;#¿NOMBRE?;-71.540.927;-330.133.176;48.5;0.002788311103358865;0;133;Still;100;5.684.008.598.327.630;-0.24421602487564087;806.391.716.003.418;undefined;999.9;99.0;undefined;16 oct. 2019 18:49:03
9;WDvTZEGtG9Wh7LZYIWfgE1gIRp13;#¿NOMBRE?;-71.540.927;-330.133.176;48.5;0.002788311103358865;0;133;Still;100;5.684.008.598.327.630;-0.24421602487564087;806.391.716.003.418;undefined;999.9;99.0;undefined;16 oct. 2019 18:49:03
10;WDvTZEGtG9Wh7LZYIWfgE1gIRp13;#¿NOMBRE?;-71.540.927;-330.133.176;48.5;0.002788311103358865;0;133;Still;100;5.684.008.598.327.630;-0.24421602487564087;806.391.716.003.418;undefined;999.9;99.0;undefined;16 oct. 2019 18:49:03
