S.No;uid;$key;longitud;latitud;altura; velocidad ;CantSat;azimuth;actividad;confianza;postionDop;horizontalDop;verticalDop;geoidHeight;Day;dDate;Time
1;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5485966;-33,0113187;40,59999847;0;0;148;undefined;undefined;undefined;undefined;undefined;undefined;lun.; 10 ago. 2020; 15:06:42
2;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5485947;-33,0113093;40,39999771;0;17;148;undefined;undefined;undefined;100;undefined;undefined;lun.; 10 ago. 2020; 15:06:48
3;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5484044;-33,0112583;40,39999771;0;19;150;undefined;undefined;undefined;0,764;undefined;undefined;lun.; 10 ago. 2020; 15:06:58
4;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5484011;-33,0112576;40,59999847;0;19;150;undefined;undefined;undefined;0,764;undefined;undefined;lun.; 10 ago. 2020; 15:07:08
5;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5481521;-33,0113489;40,59999847;5,9;18;150;undefined;undefined;undefined;76;77;undefined;lun.; 10 ago. 2020; 15:07:39
6;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5474274;-33,0114606;40,59999847;7,4;18;155;undefined;undefined;undefined;76;77;undefined;lun.; 10 ago. 2020; 15:07:50
7;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5467093;-33,0115679;40,59999847;6,4;18;135;undefined;undefined;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:08:00
8;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5458832;-33,0117158;40,59999847;8,1;18;139;undefined;undefined;undefined;76;85;undefined;lun.; 10 ago. 2020; 15:08:11
9;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5450409;-33,011832;40,59999847;6,6;18;142;undefined;undefined;undefined;76;85;undefined;lun.; 10 ago. 2020; 15:08:22
10;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,544321;-33,0119015;27,40947276;6,5;18;170;undefined;undefined;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:08:32
11;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5434943;-33,0120234;24,10947101;6,9;18;135;undefined;undefined;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:08:42
12;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,543082;-33,012089;23,56183762;0;18;135;undefined;undefined;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:08:53
13;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5430868;-33,0120885;39,79999924;0;18;134;undefined;undefined;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:09:03
14;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5430855;-33,0120893;40,59999847;0,5;18;142;undefined;undefined;undefined;77;85;undefined;lun.; 10 ago. 2020; 15:09:36
15;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5430313;-33,0125903;40,59999847;6,6;18;152;undefined;undefined;undefined;76;77;undefined;lun.; 10 ago. 2020; 15:09:47
16;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5432277;-33,0131892;40,59999847;7,4;18;186;undefined;undefined;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:09:57
