S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;dia;Fecha&Hora;hora
1;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5417937;-33,0133673;0;0;0;208;Still;100%;-0,11730957;-0,405212402;9,747390747;undefined;undefined;undefined;undefined;Sat;16 oct. 2019 19:32:21; 19:32:21
2;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5421647;-33,0130841;0;0;14;208;Still;100%;-41,59851074;22,10235596;1,522827148;undefined;undefined;;undefined;Sat;16 oct. 2019 19:32:31; 19:32:31
3;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5417937;-33,0130276;0;0;14;207;Still;100%;-0,111923218;-0,401031494;9,731826782;undefined;undefined;;undefined;Sat;16 oct. 2019 19:32:41; 19:32:41
4;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5443903;-33,0154619;0;0;14;27;Still;100%;12,60070801;12,82501221;-8,23059082;undefined;undefined;;undefined;Sat;16 oct. 2019 19:32:51; 19:32:51
5;JTxR78SdpobHap7hzp3AZcynJtU2;-LprwdwTcTfFj0-4PRYM;-71,5399345;-33,0168627;50,7;0;14;227;Still;100%;-2,438354492;-14,61639404;10,1776123;undefined;undefined;;undefined;Sat;16 oct. 2019 19:33:01; 19:33:01
6;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5417105;-33,0242503;50,7;0;15;174;Still;100%;-7,125854492;-9,831237793;9,902954102;undefined;undefined;;undefined;Sat;16 oct. 2019 19:33:11; 19:33:11
7;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5396532;-33,0251987;50,7;0;0;177;undefined;undefined;4,87399292;-5,803543091;6,224319458;undefined;undefined;undefined;undefined;Sat;16 oct. 2019 19:33:21; 19:33:21
8;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5391008;-33,0258059;50,7;0;0;147;undefined;undefined;6,706161499;-0,846954346;5,951980591;undefined;undefined;;undefined;Sat;16 oct. 2019 19:33:31; 19:33:31
9;JTxR78SdpobHap7hzp3AZcynJtU2;-LprweeVlb-4FPMUTzH2;-71,5381186;-33,0264933;50,7;0;0;146;undefined;undefined;6,707351685;-0,847549438;6,121368408;undefined;undefined;;undefined;Sat;16 oct. 2019 19:33:41; 19:33:41
10;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5368883;-33,0275755;50,7;20,16;24;136;undefined;undefined;-4,977416992;-11,10076904;14,57366943;undefined;1,3;1;33,6;Sat;16 oct. 2019 19:33:51; 19:33:51
11;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5355855;-33,0286558;50,4;11,4;24;136;undefined;undefined;3,898956299;-0,800262451;8,646652222;undefined;1,3;1;33,6;Sat;16 oct. 2019 19:34:01; 19:34:01
12;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5335851;-33,0300077;50,4;11,4;24;137;Still;100%;3,881607056;-0,780502319;8,907028198;undefined;1,3;1;33,6;Sat;16 oct. 2019 19:34:11; 19:34:11
13;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5325157;-33,030782;95,4;0;24;103;undefined;undefined;-4,977416992;-2,507019043;-50,81634521;undefined;1,3;1;33,6;Sat;16 oct. 2019 19:34:21; 19:34:21
14;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5311188;-33,0321028;41,4;0;24;75;undefined;undefined;-14,05944824;-38,73748779;-40,23895264;undefined;1,3;;33,6;Sat;16 oct. 2019 19:34:31; 19:34:31
15;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5320176;-33,0327895;41,4;0;24;65;Still;100%;-14,15710449;-38,44451904;-39,27764893;undefined;1,3;;33,6;Sat;16 oct. 2019 19:34:41; 19:34:41
16;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5323652;-33,0331572;39,4;0;16;80;undefined;undefined;-14,05944824;-35,80780029;-38,58947754;undefined;1;0,8;33,6;Sat;16 oct. 2019 19:34:51; 19:34:51
17;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5323536;-33,0331453;39,4;0;16;69;In Vehicle;97%;-14,64538574;-36,39373779;-39,14031982;undefined;1;0,8;33,6;Sat;16 oct. 2019 19:35:01; 19:35:01
18;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5323549;-33,033145;39,4;58,5;15;63;undefined;undefined;6,952758789;0,07421875;6,525390625;undefined;1;0,8;33,6;Sat;16 oct. 2019 19:35:11; 19:35:11
19;JTxR78SdpobHap7hzp3AZcynJtU2;-Lpry5QBJ3-20PHMLo3D;-71,5322421;-33,0335548;39,4;58,5;15;63;Still;100%;8,989028931;-0,733230591;4,847061157;undefined;1;0,8;33,6;Sat;16 oct. 2019 19:35:21; 19:35:21
20;JTxR78SdpobHap7hzp3AZcynJtU2;#¨NOMBRE?;-71,5318146;-33,0344124;39,4;58,5;15;62;In Vehicle;97%;-13,57116699;-36,58905029;-37,62817383;undefined;1;0,8;33,6;Sat;16 oct. 2019 19:35:31; 19:35:31
