S.No;uid;$key;longitud;latitud;altura; velocidad ;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date;;
1;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5485966;-33,0113187;40,59999847;0;0;148;undefined;undefined;3,52201438;0,057393804;9,321708679;undefined;undefined;undefined;undefined;lun.; 10 ago. 2020; 15:06:42
2;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5485947;-33,0113093;40,39999771;0,008807532;17;148;undefined;undefined;3,690058708;0,215487733;9,167934418;undefined;100;undefined;undefined;lun.; 10 ago. 2020; 15:06:48
3;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5484044;-33,0112583;40,39999771;0,002030953;19;150;undefined;undefined;3,904550314;-0,063273966;9,086522102;undefined;0,764;undefined;undefined;lun.; 10 ago. 2020; 15:06:58
4;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5484011;-33,0112576;40,59999847;2,56134E-06;19;150;undefined;undefined;4,875408649;-0,047290273;8,623943329;undefined;0,764;undefined;undefined;lun.; 10 ago. 2020; 15:07:08
5;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5484011;-33,0112576;40,59999847;2,56134E-06;0;153;undefined;undefined;4,831518173;-0,373505026;8,353819847;undefined;undefined;undefined;undefined;lun.; 10 ago. 2020; 15:07:08
6;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5484011;-33,0112576;40,59999847;1,47E-09;18;134;undefined;undefined;-19,125;-17,375;51,9375;undefined;85;undefined;undefined;lun.; 10 ago. 2020; 15:07:18
7;mtHGoNLpRuSlcffnCsdrgXFBBBp2;-MEOlGe4H-8Wrq9Q9If7;-71,5484011;-33,0112576;40,59999847;7,78E-10;18;142;undefined;undefined;-0,464484721;-0,810753286;10,03679943;undefined;85;undefined;undefined;lun.; 10 ago. 2020; 15:07:19
8;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5484011;-33,0112576;40,59999847;7,54E-13;18;112;undefined;undefined;0,436357647;1,32971096;9,748040199;undefined;85;85;undefined;lun.; 10 ago. 2020; 15:07:29
9;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5484011;-33,0112576;40,59999847;7,54E-13;18;119;In Vehicle;96%;0,595686972;0,504793465;9,959438324;undefined;85;85;undefined;lun.; 10 ago. 2020; 15:07:29
10;mtHGoNLpRuSlcffnCsdrgXFBBBp2;#¿NOMBRE?;-71,5481521;-33,0113489;40,59999847;5,923556805;18;150;undefined;undefined;1,190904617;-0,488637418;7,419171333;undefined;76;77;undefined;lun.; 10 ago. 2020; 15:07:39
