S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;Y;X;Z;postionDop;horizontalDop;verticalDop;geoidHeight;date;;
1;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5420508;-33,0122042;40,39999771;0;18;140;undefined;undefined;5,775254726;-1,371331692;7,584342957;undefined;100;undefined;undefined;mar.; 22 sep. 2020; 13:37:08
2;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5422073;-33,0122106;40,39999771;0,000108721;21;154;undefined;undefined;-1,25;-2,5;11,9375;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:37:18
3;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5422075;-33,01221;40,79999924;1,21E-07;21;159;undefined;undefined;-1,5625;-2;12,0625;undefined;0,723;undefined;undefined;mar.; 22 sep. 2020; 13:37:28
4;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5419893;-33,0119267;40,5;10,11650753;21;321;In Vehicle;96%;4,730721951;0,921825111;10,23942566;undefined;81;88;undefined;mar.; 22 sep. 2020; 13:38:00
5;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,541734;-33,0108522;40,5;9,59800148;21;306;In Vehicle;98%;4,194785118;0,788401067;8,486257553;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:38:11
6;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5415997;-33,009976;40,5;10,67867756;21;292;In Vehicle;98%;4,258825302;1,425277829;7,210464001;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:38:21
7;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5418566;-33,0091496;40,5;5,104285717;21;280;In Vehicle;96%;3,707574368;-0,990711033;6,675273895;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:38:32
8;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5423488;-33,0090829;40,5;3,972259998;21;218;In Vehicle;96%;-22,625;18,4375;14,5625;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:38:42
9;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5424245;-33,0093196;41,5;1,377272129;21;200;In Vehicle;96%;3,705486774;1,455693841;9,217302322;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:38:52
10;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5424443;-33,0094764;41,09999847;1,54182303;21;194;In Vehicle;96%;4,096048355;1,556910992;7,513953209;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:39:03
11;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5425435;-33,0098321;41;4,525598049;21;196;In Vehicle;96%;4,811511993;0,123646155;7,776060581;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:39:14
12;rJNAYFn9YMbkyFTLI9HKklw469q1;-MHqfizqei_OoArUNpc-;-71,542649;-33,0102133;41;1,965670347;21;199;In Vehicle;96%;-25,1875;12,5625;18;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:39:24
13;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5426872;-33,0104955;41;2,148271084;21;195;In Vehicle;98%;2,365385056;0,813023031;10,04975796;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:39:34
14;rJNAYFn9YMbkyFTLI9HKklw469q1;-MHqfo712wnFyYa4tzA-;-71,5427206;-33,0106531;40,59999847;4,459335804;21;197;In Vehicle;96%;-25,1875;12,0625;17,8125;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:39:45
15;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5427482;-33,010857;40,59999847;0,000466165;21;198;In Vehicle;96%;4,062912464;1,022410393;8,865662575;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:39:55
16;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,5427476;-33,0108572;40,79999924;5,69E-07;21;198;In Vehicle;96%;-22,9375;12,0625;18,1875;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:40:05
17;rJNAYFn9YMbkyFTLI9HKklw469q1;#¨NOMBRE?;-71,542773;-33,0109416;40,69999695;1,697105646;21;199;In Vehicle;94%;4,648840904;-0,231586352;7,380126953;undefined;80;81;undefined;mar.; 22 sep. 2020; 13:40:26
