S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;postionDop;horizontalDop;verticalDop;geoidHeight;Day;dDate;Time;
1;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5485028;-33,0112925;40,59999847;0;0;88;undefined;undefined;undefined;undefined;undefined;undefined;mar.; 22 sep. 2020; 18:10:46;
2;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5485488;-33,0113175;40,59999847;0;18;121;undefined;undefined;undefined;100;undefined;undefined;mar.; 22 sep. 2020; 18:10:56;
3;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,547991;-33,0111804;40,59999847;7,8;16;131;In Vehicle;94%;undefined;1,039;undefined;undefined;mar.; 22 sep. 2020; 18:11:07;
4;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5467656;-33,0115996;40,59999847;8,84;16;138;In Vehicle;96%;undefined;0,826;undefined;undefined;mar.; 22 sep. 2020; 18:11:18;
5;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5458116;-33,0117252;40,59999847;8,29;16;142;In Vehicle;96%;undefined;0,85;undefined;undefined;mar.; 22 sep. 2020; 18:11:29;
6;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5448828;-33,0118584;40,59999847;8,26;16;128;In Vehicle;94%;undefined;0,85;undefined;undefined;mar.; 22 sep. 2020; 18:11:39;
7;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5438989;-33,011986;40,59999847;8,19;17;135;In Vehicle;93%;undefined;0,851;undefined;undefined;mar.; 22 sep. 2020; 18:11:50;
8;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5435029;-33,0120647;32,37799412;2,15;17;146;In Vehicle;93%;undefined;0,759;undefined;undefined;mar.; 22 sep. 2020; 18:12:00;
9;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5429686;-33,0121551;40,59999847;7,2;17;152;In Vehicle;96%;undefined;0,759;undefined;undefined;mar.; 22 sep. 2020; 18:12:11;
10;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5421188;-33,0122858;40,59999847;4,95;17;134;In Vehicle;96%;undefined;0,759;undefined;undefined;mar.; 22 sep. 2020; 18:12:21;
11;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5420516;-33,0121097;40,59999847;0,01;17;331;In Vehicle;96%;undefined;0,759;undefined;undefined;mar.; 22 sep. 2020; 18:12:31;
12;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5420544;-33,0121101;40,5;0;17;344;In Vehicle;96%;undefined;0,759;undefined;undefined;mar.; 22 sep. 2020; 18:12:42;
13;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5420588;-33,0120103;40,5;0;17;341;In Vehicle;88%;undefined;0,759;undefined;undefined;mar.; 22 sep. 2020; 18:12:52;
14;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5420597;-33,012009;40,79999924;0;17;341;In Vehicle;88%;undefined;0,76;undefined;undefined;mar.; 22 sep. 2020; 18:13:02;
15;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5420583;-33,0120081;40,5;1,15;17;15;In Vehicle;93%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:15:29;
16;5l3ZbKz2XhSyy1BsXOSZudOW22r1;-MHrexryMKUDOVgX_iN-;-71,5418357;-33,0113301;40,5;9,54;17;339;In Vehicle;93%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:15:40;
17;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5416055;-33,0103586;40,5;9,32;17;329;In Vehicle;97%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:15:51; 
18;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5416627;-33,0096399;40,5;3,9;17;284;In Vehicle;97%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:16:01;
19;5l3ZbKz2XhSyy1BsXOSZudOW22r1;-MHrf4QUHFebjWibr6P-;-71,5420212;-33,0096473;40,5;3,58;17;263;In Vehicle;94%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:16:11;
20;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5423139;-33,0095759;40,5;0,05;17;263;In Vehicle;94%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:16:21;
21;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5423232;-33,0095726;41,09999847;0;17;258;In Vehicle;94%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:16:32;
22;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5424996;-33,0099244;41,19999695;6,27;17;203;In Vehicle;94%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:16:42;
23;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5426984;-33,0107867;41,19999695;8,48;17;213;In Vehicle;98%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:16:53;
24;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5428941;-33,0116237;41,19999695;7,41;17;207;In Vehicle;98%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:17:04;
25;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5430173;-33,012296;41,19999695;8,05;17;209;In Vehicle;98%;undefined;0,78;undefined;undefined;mar.; 22 sep. 2020; 18:17:14;
26;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5431995;-33,0130435;41,19999695;4,98;17;201;In Vehicle;98%;undefined;0,78;undefined;undefined;mar.; 22 sep. 2020; 18:17:25;
27;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5436867;-33,0132389;37,86226184;8,39;17;262;In Vehicle;98%;undefined;0,78;undefined;undefined;mar.; 22 sep. 2020; 18:17:35;
28;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5445074;-33,0130501;29,39811455;7,35;17;291;In Vehicle;94%;undefined;0,78;undefined;undefined;mar.; 22 sep. 2020; 18:17:45;
29;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5443312;-33,0124091;28,97133138;3,66;17;343;In Vehicle;95%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:17:56;
30;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5442519;-33,012245;40,39999771;0;17;335;In Vehicle;95%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:18:07;
31;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5442466;-33,0122453;40,39999771;0;17;335;In Vehicle;88%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:18:18;
32;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5442429;-33,0122462;40,39999771;0;17;334;In Vehicle;90%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:18:29;
33;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5442568;-33,01216;40,19999695;1,01;17;326;In Vehicle;90%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:18:40;
34;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,544244;-33,0121035;40,59999847;0;17;328;In Vehicle;96%;undefined;84;undefined;undefined;mar.; 22 sep. 2020; 18:18:50;
35;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5442436;-33,0121035;40,59999847;0;17;330;In Vehicle;96%;undefined;0,761;undefined;undefined;mar.; 22 sep. 2020; 18:19:01;
36;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5442431;-33,0121036;40,39999771;0;17;328;In Vehicle;96%;undefined;0,761;undefined;undefined;mar.; 22 sep. 2020; 18:19:12;
37;5l3ZbKz2XhSyy1BsXOSZudOW22r1;#¨NOMBRE?;-71,5442427;-33,0121037;40,59999847;0;17;329;In Vehicle;96%;undefined;0,761;undefined;undefined;mar.; 22 sep. 2020; 18:19:23;
