uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;postionDop;horizontalDop;verticalDop;geoidHeight;Day;dDate;Time
1;#¿NOMBRE?;-71,5487941;-33,0112856;40,59999847;0;0;127;Still;100%;undefined;undefined;undefined;undefined;lun.; 10 ago. 2020; 15:17:30
2;#¿NOMBRE?;-71,5487871;-33,0113159;40,59999847;0;18;104;Still;100%;undefined;76;85;undefined;lun.; 10 ago. 2020; 15:17:41
3;#¿NOMBRE?;-71,5482122;-33,0114002;40,39999771;8;18;95;In Vehicle;92%;undefined;77;85;undefined;lun.; 10 ago. 2020; 15:17:52
4;#¿NOMBRE?;-71,5472242;-33,0115666;40,39999771;8;18;100;In Vehicle;98%;undefined;76;77;undefined;lun.; 10 ago. 2020; 15:18:03
5;#¿NOMBRE?;-71,5465803;-33,0115318;40,39999771;4,1;18;18;In Vehicle;98%;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:18:14
6;#¿NOMBRE?;-71,5464859;-33,0109132;40,39999771;5,6;18;11;In Vehicle;96%;undefined;85;77;undefined;lun.; 10 ago. 2020; 15:18:25
7;#¿NOMBRE?;-71,5463315;-33,0103494;40,39999771;8;18;10;In Vehicle;96%;undefined;77;85;undefined;lun.; 10 ago. 2020; 15:18:35
8;#¿NOMBRE?;-71,5461714;-33,0095249;38,06171447;5;18;53;In Vehicle;97%;undefined;85;85;undefined;lun.; 10 ago. 2020; 15:18:46
9;#¿NOMBRE?;-71,545474;-33,0096349;44,5899568;7,2;18;110;In Vehicle;97%;undefined;85;76;undefined;lun.; 10 ago. 2020; 15:18:57
10;#¿NOMBRE?;-71,5451686;-33,0097274;45,00913841;0,2;18;107;In Vehicle;98%;undefined;76;85;undefined;lun.; 10 ago. 2020; 15:19:07
11;#¿NOMBRE?;-71,5449928;-33,00973;41,19999695;5,6;18;69;In Vehicle;98%;undefined;85;85;undefined;lun.; 10 ago. 2020; 15:19:18
12;#¿NOMBRE?;-71,5442086;-33,0098522;41,19999695;6,3;18;104;In Vehicle;96%;undefined;76;85;undefined;lun.; 10 ago. 2020; 15:19:28
13;#¿NOMBRE?;-71,5434615;-33,0099693;41,19999695;7,1;18;113;In Vehicle;97%;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:19:38
14;#¿NOMBRE?;-71,5427578;-33,0100956;41,19999695;5,2;18;102;In Vehicle;97%;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:19:48
15;#¿NOMBRE?;-71,5421534;-33,0101923;41,19999695;6,7;18;96;In Vehicle;97%;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:19:58
16;#¿NOMBRE?;-71,5416746;-33,0102528;41,19999695;0,5;18;90;In Vehicle;96%;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:20:08
17;#¿NOMBRE?;-71,5415924;-33,009741;28,08142175;8,6;18;340;In Vehicle;96%;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:20:19
18;#¿NOMBRE?;-71,5419597;-33,0090239;32,70951526;8,9;18;304;In Vehicle;96%;undefined;76;77;undefined;lun.; 10 ago. 2020; 15:20:29
19;#¿NOMBRE?;-71,5430668;-33,0088351;34,46151814;8,9;18;278;In Vehicle;96%;undefined;75;76;undefined;lun.; 10 ago. 2020; 15:20:40
20;#¿NOMBRE?;-71,5434116;-33,0087647;34,13264235;0,2;18;267;In Vehicle;96%;undefined;76;85;undefined;lun.; 10 ago. 2020; 15:20:50
21;#¿NOMBRE?;-71,5434095;-33,0087688;42,89999771;0;18;261;In Vehicle;95%;undefined;0,734;85;undefined;lun.; 10 ago. 2020; 15:21:01
22;#¿NOMBRE?;-71,5434926;-33,0087428;42,89999771;5;18;255;In Vehicle;95%;undefined;85;85;undefined;lun.; 10 ago. 2020; 15:21:11
23;#¿NOMBRE?;-71,5443615;-33,0086366;42,89999771;8,6;18;269;In Vehicle;96%;undefined;76;85;undefined;lun.; 10 ago. 2020; 15:21:21
