S.No;uid;$key;longitud;latitud;altura;velocidad;CantSat;azimuth;actividad;confianza;postionDop;horizontalDop;verticalDop;geoidHeight;Day;dDate;Time
1;wRWQ3sFalBXu2ma1xFErXjMDda63;#¨NOMBRE?;-71,5447885;-33,0119058;40,79999924;0,0;0;219;undefined;undefined;undefined;undefined;undefined;undefined;mar.; 22 sep. 2020; 13:17:36
2;wRWQ3sFalBXu2ma1xFErXjMDda63;#¨NOMBRE?;-71,5442517;-33,0119675;40,79999924;7,8;19;1;Tilting;100%;undefined;0,816;undefined;undefined;mar.; 22 sep. 2020; 13:17:46
3;wRWQ3sFalBXu2ma1xFErXjMDda63;-MHqaomIIHoibT76qm6-;-71,5435523;-33,0121008;40,79999924;4,4;19;28;Tilting;100%;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:17:57
4;wRWQ3sFalBXu2ma1xFErXjMDda63;#¨NOMBRE?;-71,5431426;-33,0121945;40,79999924;4,1;19;28;In Vehicle;95%;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:18:07
5;wRWQ3sFalBXu2ma1xFErXjMDda63;#¨NOMBRE?;-71,5424226;-33,0122989;40,09999847;8,5;19;297;In Vehicle;92%;undefined;0,815;undefined;undefined;mar.; 22 sep. 2020; 13:18:18
6;wRWQ3sFalBXu2ma1xFErXjMDda63;#¨NOMBRE?;-71,5419591;-33,0118474;40,09999847;6,3;20;6;In Vehicle;92%;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:18:29
7;wRWQ3sFalBXu2ma1xFErXjMDda63;#¨NOMBRE?;-71,5418093;-33,0112726;40,09999847;6,6;20;298;In Vehicle;94%;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:18:40
8;wRWQ3sFalBXu2ma1xFErXjMDda63;#¨NOMBRE?;-71,5416764;-33,0106404;40,09999847;4,7;20;298;In Vehicle;94%;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:18:51
9;wRWQ3sFalBXu2ma1xFErXjMDda63;#¨NOMBRE?;-71,5416425;-33,0104888;40,09999847;3,5;20;297;In Vehicle;97%;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:19:01
10;wRWQ3sFalBXu2ma1xFErXjMDda63;#¨NOMBRE?;-71,5416181;-33,0103293;41,29999924;4,0;20;299;In Vehicle;96%;undefined;88;undefined;undefined;mar.; 22 sep. 2020; 13:19:11
11;wRWQ3sFalBXu2ma1xFErXjMDda63;#¨NOMBRE?;-71,5416665;-33,009531;41,29999924;8,3;20;293;In Vehicle;96%;undefined;0,761;undefined;undefined;mar.; 22 sep. 2020; 13:19:22
